Elution volume;;UV1_280nm;Activity [%];Absorption at 280nm;UV2_360nm;;UV3_410nm;;Cond;;Cond%;;Conc;;pH;;Pressure;;Flow;;Temp;;Fractions;;Inject;;UV1_280nm@01,BASEM;;Logbook;
0.57;;0.75;;0.62;0.75;318.85;0.75;310.11;0.82;20.87;0.93;20.90;0.93;0.00;0.93;7.07;0.82;1.19;0.82;0.70;0.93;26.40;20.80;15;;;0.75;0.03;-0.03;Alarm_Pressure Enabled ,     1.50 MPa,     0.00 MPa
0.61;;0.80;;0.59;0.80;318.90;0.80;310.09;0.88;20.87;1.00;20.90;1.00;0.00;1.00;7.07;0.87;1.19;0.88;0.70;1.00;26.40;22.23;16;;;0.80;0.03;-0.03;End Block
0.65;;0.85;;0.55;0.85;318.81;0.85;310.14;0.93;20.86;1.07;20.90;1.07;0.00;1.07;7.07;0.93;1.19;0.93;0.70;1.07;26.40;23.66;17;;;0.85;0.03;-0.03;Block Start_Instructions
0.69;;0.91;;0.49;0.91;318.76;0.91;310.12;0.99;20.86;1.13;20.90;1.13;0.00;1.13;7.07;0.99;1.20;0.99;0.70;1.13;26.40;25.09;18;;;0.91;0.04;-0.03;Base SameAsMain
0.74;;0.96;;0.47;0.96;318.80;0.96;310.11;1.05;20.86;1.20;20.90;1.20;0.00;1.20;7.07;1.05;1.20;1.05;0.70;1.20;26.40;26.52;19;;;0.96;0.04;-0.03;Wavelength  280 nm,  360 nm,  410 nm
0.78;;1.01;;0.42;1.01;318.76;1.01;310.04;1.11;20.86;1.27;20.90;1.27;0.00;1.27;7.07;1.11;1.20;1.11;0.70;1.27;26.40;27.95;20;;;1.01;0.05;-0.03;AveragingTimeUV 5.12 sec
0.82;;1.07;;0.41;1.07;318.77;1.07;310.16;1.17;20.86;1.33;20.90;1.33;0.00;1.33;7.07;1.17;1.19;1.17;0.70;1.33;26.40;29.38;21;;;1.07;0.05;-0.03;End Block
0.86;;1.12;;0.47;1.12;318.85;1.12;310.31;1.23;20.87;1.40;20.90;1.40;0.00;1.40;7.07;1.22;1.19;1.23;0.70;1.40;26.40;30.81;22;;;1.12;0.05;-0.03;Block Eluent_A_Inlet
0.90;;1.17;;0.51;1.17;318.83;1.17;310.28;1.28;20.87;1.47;20.90;1.47;0.00;1.47;7.07;1.28;1.20;1.28;0.70;1.47;26.40;32.24;23;;;1.17;0.06;-0.03;Base SameAsMain
0.94;;1.23;;0.50;1.23;318.83;1.23;310.25;1.34;20.88;1.53;20.90;1.53;0.00;1.53;7.07;1.34;1.19;1.34;0.70;1.53;26.40;33.67;24;;;1.23;0.06;-0.03;PumpAInlet A1
0.98;;1.28;;0.46;1.28;318.89;1.28;310.16;1.40;20.88;1.60;20.90;1.60;0.00;1.60;7.07;1.40;1.20;1.40;0.70;1.60;26.40;35.10;25;;;1.28;0.06;-0.03;End Block
1.02;;1.33;;0.40;1.33;318.82;1.33;310.20;1.46;20.87;1.67;20.90;1.67;0.00;1.67;7.07;1.46;1.19;1.46;0.70;1.67;26.30;36.53;26;;;1.33;0.07;-0.03;Block Eluent_B_Inlet
1.06;;1.39;;0.39;1.39;318.78;1.39;310.15;1.52;20.87;1.73;20.90;1.73;0.00;1.73;7.07;1.52;1.20;1.52;0.70;1.73;26.30;37.96;27;;;1.39;0.07;-0.03;Base SameAsMain
1.10;;1.44;;0.40;1.44;318.79;1.44;310.16;1.58;20.87;1.80;20.90;1.80;0.00;1.80;7.07;1.57;1.19;1.58;0.70;1.80;26.30;39.39;28;;;1.44;0.07;-0.03;PumpBInlet B1
1.14;;1.49;;0.40;1.49;318.86;1.49;310.20;1.63;20.86;1.87;20.90;1.87;0.00;1.87;7.07;1.63;1.17;1.63;0.70;1.87;26.30;39.92;Waste;;;1.49;0.08;-0.03;End Block
1.18;;1.55;;0.42;1.55;318.87;1.55;310.17;1.69;20.86;1.93;20.90;1.93;0.00;1.93;7.07;1.69;1.18;1.69;0.70;1.93;26.30;;;;;1.55;0.08;-0.03;Block Start_Conc_B
1.23;;1.60;;0.40;1.60;318.81;1.60;310.11;1.75;20.86;2.00;20.90;2.00;0.00;2.00;7.07;1.75;1.19;1.75;0.70;2.00;26.30;;;;;1.60;0.08;-0.03;Base SameAsMain
1.27;;1.65;;0.40;1.65;318.81;1.65;310.06;1.81;20.86;2.07;20.90;2.07;0.00;2.07;7.07;1.81;1.20;1.81;0.70;2.07;26.30;;;;;1.65;0.09;-0.03;Gradient      0.0 %B,    0.000 CV
1.31;;1.71;;0.40;1.71;318.76;1.71;310.07;1.87;20.86;2.13;20.90;2.13;0.00;2.13;7.07;1.87;1.19;1.87;0.70;2.13;26.30;;;;;1.71;0.09;-0.03;End Block
1.35;;1.76;;0.34;1.76;318.70;1.76;310.01;1.93;20.86;2.20;20.90;2.20;0.00;2.20;7.07;1.92;1.18;1.93;0.70;2.20;26.30;;;;;1.76;0.09;-0.03;Block Column_Equilibration
1.39;;1.81;;0.32;1.81;318.76;1.81;310.09;1.98;20.86;2.27;20.90;2.27;0.00;2.27;7.07;1.98;1.19;1.98;0.70;2.27;26.30;;;;;1.81;0.10;-0.03;Base SameAsMain
1.43;;1.87;;0.31;1.87;318.77;1.87;310.09;2.04;20.86;2.33;20.90;2.33;0.00;2.33;7.07;2.04;1.18;2.04;0.70;2.33;26.30;;;;;1.87;0.10;-0.03;End Block
1.47;;1.92;;0.32;1.92;318.80;1.92;310.11;2.10;20.86;2.40;20.90;2.40;0.00;2.40;7.07;2.10;1.20;2.10;0.70;2.40;26.20;;;;;1.92;0.10;-0.03;Block AutoZero_UV
1.51;;1.97;;0.32;1.97;318.78;1.97;310.03;2.16;20.86;2.47;20.90;2.47;0.00;2.47;7.07;2.16;1.20;2.16;0.70;2.47;26.20;;;;;1.97;0.11;-0.03;Base SameAsMain
1.55;;2.03;;0.35;2.03;318.80;2.03;310.05;2.22;20.86;2.53;20.90;2.53;0.00;2.53;7.07;2.22;1.20;2.22;0.70;2.53;26.20;;;;;2.03;0.11;-0.03;Watch_Off UV1
1.59;;2.08;;0.36;2.08;318.75;2.08;310.11;2.28;20.86;2.60;20.90;2.60;0.00;2.60;7.07;2.27;1.20;2.28;0.70;2.60;26.20;;;;;2.08;0.11;-0.03;AutoZeroUV
1.63;;2.13;;0.36;2.13;318.78;2.13;310.03;2.33;20.86;2.67;20.90;2.67;0.00;2.67;7.07;2.33;1.18;2.33;0.70;2.67;26.20;;;;;2.13;0.12;-0.03;End Block
1.67;;2.19;;0.35;2.19;318.84;2.19;310.06;2.39;20.86;2.73;20.90;2.73;0.00;2.73;7.07;2.39;1.19;2.39;0.70;2.73;26.20;;;;;2.19;0.12;-0.03;Block Aut_PressureFlow_Regulation
1.72;;2.24;;0.35;2.24;318.79;2.24;310.09;2.45;20.85;2.80;20.80;2.80;0.00;2.80;7.07;2.45;1.20;2.45;0.70;2.80;26.20;;;;;2.24;0.12;-0.03;Base Time {min}
1.76;;2.29;;0.35;2.29;318.83;2.29;310.09;2.51;20.85;2.87;20.80;2.87;0.00;2.87;7.07;2.51;1.20;2.51;0.70;2.87;26.20;;;;;2.29;0.13;-0.03;SystemPumpControlMode Normal ,     0.00 MPa,    0.000 ml/min
1.80;;2.35;;0.35;2.35;318.83;2.35;310.04;2.57;20.85;2.93;20.80;2.93;0.00;2.93;7.07;2.57;1.19;2.57;0.70;2.93;26.20;;;;;2.35;0.13;-0.03;End Block
1.84;;2.40;;0.36;2.40;318.83;2.40;310.00;2.63;20.85;3.00;20.80;3.00;0.00;3.00;7.07;2.62;1.19;2.63;0.70;3.00;26.20;;;;;2.40;0.13;-0.03;Block Sample_Injection_
1.88;;2.45;;0.37;2.45;318.82;2.45;310.06;2.68;20.85;3.07;20.90;3.07;0.00;3.07;7.07;2.68;1.18;2.68;0.70;3.07;26.20;;;;;2.45;0.14;-0.03;Base SameAsMain
1.92;;2.51;;0.40;2.51;318.88;2.51;310.09;2.74;20.85;3.13;20.90;3.13;0.00;3.13;7.07;2.74;1.20;2.74;0.70;3.13;26.20;;;;;2.51;0.14;-0.03;InjectionValve Inject
1.96;;2.56;;0.34;2.56;318.89;2.56;310.11;2.80;20.85;3.20;20.90;3.20;0.00;3.20;7.07;2.80;1.19;2.80;0.70;3.20;26.20;;;;;2.56;0.14;-0.03;Block Sample_Injection
2.00;;2.61;;0.35;2.61;318.83;2.61;310.03;2.86;20.85;3.27;20.90;3.27;0.00;3.27;7.07;2.86;1.20;2.86;0.70;3.27;26.20;;;;;2.61;0.15;-0.03;Base Volume {ml}
2.04;;2.67;;0.39;2.67;318.81;2.67;310.03;2.92;20.85;3.33;20.90;3.33;0.00;3.33;7.07;2.92;1.20;2.92;0.70;3.33;26.10;;;;;2.67;0.15;0.73;End Block
2.08;;2.72;;0.42;2.72;318.75;2.72;310.03;2.98;20.85;3.40;20.90;3.40;0.00;3.40;7.07;2.97;1.19;2.98;0.70;3.40;26.10;;;;;2.72;0.15;0.73;InjectionValve Load
2.12;;2.77;;0.42;2.77;318.87;2.77;310.06;3.03;20.85;3.47;20.80;3.47;0.00;3.47;7.07;3.03;1.18;3.03;0.70;3.47;26.10;;;;;2.77;0.15;0.75;End Block
2.16;;2.83;;0.42;2.83;318.97;2.83;310.14;3.09;20.85;3.53;20.80;3.53;0.00;3.53;7.07;3.09;1.19;3.09;0.70;3.53;26.10;;;;;2.83;0.16;0.75;Block Aut_PressureFlow_Reset
2.21;;2.88;;0.42;2.88;318.94;2.88;310.14;3.15;20.86;3.60;20.80;3.60;0.00;3.60;7.07;3.15;1.20;3.15;0.70;3.60;26.10;;;;;2.88;0.16;0.75;Base Time {min}
2.25;;2.93;;0.41;2.93;318.87;2.93;310.08;3.21;20.86;3.67;20.80;3.67;0.00;3.67;7.07;3.21;1.20;3.21;0.70;3.67;26.10;;;;;2.93;0.16;0.75;SystemPumpControlMode Normal ,     0.00 MPa,    0.100 ml/min
2.29;;2.99;;0.40;2.99;318.84;2.99;310.06;3.27;20.86;3.73;20.80;3.73;0.00;3.73;7.07;3.27;1.20;3.27;0.70;3.73;26.10;;;;;2.99;0.17;0.75;Block Delay0p02min
2.33;;3.04;;0.39;3.04;318.89;3.04;310.07;3.33;20.86;3.80;20.80;3.80;0.00;3.80;7.07;3.32;1.20;3.33;0.70;3.80;26.10;;;;;3.04;0.17;0.75;Base Time {min}
2.37;;3.09;;0.37;3.09;318.88;3.09;310.10;3.38;20.85;3.87;20.80;3.87;0.00;3.87;7.07;3.38;1.18;3.38;0.70;3.87;26.10;;;;;3.09;0.17;0.77;End Block
2.41;;3.15;;0.38;3.15;318.92;3.15;310.12;3.44;20.85;3.93;20.80;3.93;0.00;3.93;7.07;3.44;1.18;3.44;0.70;3.93;26.10;;;;;3.15;0.17;0.77;End Block
2.45;;3.20;;0.45;3.20;318.92;3.20;310.14;3.50;20.85;4.00;20.80;4.00;0.00;4.00;7.07;3.50;1.19;3.50;0.70;4.00;26.10;;;;;3.20;0.18;0.77;Block Fractionation
2.49;;3.25;;0.46;3.25;318.94;3.25;310.14;3.56;20.85;4.07;20.80;4.07;0.00;4.07;7.07;3.56;1.19;3.56;0.70;4.07;26.10;;;;;3.25;0.18;0.77;Base SameAsMain
2.53;;3.31;;0.43;3.31;318.91;3.31;310.07;3.62;20.85;4.13;20.80;4.13;0.00;4.13;7.07;3.62;1.20;3.62;0.70;4.13;26.10;;;;;3.31;0.18;0.77;Fractionation_900    1.000 ml
2.57;;3.36;;0.43;3.36;318.97;3.36;310.10;3.68;20.85;4.20;20.80;4.20;0.00;4.20;7.07;3.67;1.19;3.68;0.70;4.20;26.10;;;;;3.36;0.19;0.77;Peak_Fractionation_900    0.000 ml
2.61;;3.41;;0.43;3.41;318.95;3.41;310.18;3.73;20.84;4.27;20.80;4.27;0.00;4.27;7.07;3.73;1.18;3.73;0.70;4.27;26.10;;;;;3.41;0.19;0.77;End Block
2.65;;3.47;;0.44;3.47;318.91;3.47;310.18;3.79;20.84;4.33;20.80;4.33;0.00;4.33;7.07;3.79;1.19;3.79;0.70;4.33;26.10;;;;;3.47;0.19;0.77;Block Flow_Rate
2.70;;3.52;;0.41;3.52;318.98;3.52;310.23;3.85;20.84;4.40;20.80;4.40;0.00;4.40;7.07;3.85;1.19;3.85;0.70;4.40;26.10;;;;;3.52;0.19;0.77;Base SameAsMain
2.74;;3.57;;0.43;3.57;318.96;3.57;310.22;3.91;20.84;4.47;20.80;4.47;0.00;4.47;7.07;3.91;1.21;3.91;0.70;4.47;26.10;;;;;3.57;0.20;0.77;Flow    0.700 ml/min
2.78;;3.63;;0.42;3.63;318.98;3.63;310.14;3.97;20.84;4.53;20.80;4.53;0.00;4.53;7.07;3.97;1.20;3.97;0.70;4.53;26.10;;;;;3.63;0.20;0.77;End Block
2.82;;3.68;;0.39;3.68;319.02;3.68;310.18;4.03;20.84;4.60;20.80;4.60;0.00;4.60;7.07;4.02;1.20;4.03;0.70;4.60;26.10;;;;;3.68;0.20;0.77;Block Isocratic_Elution
2.86;;3.73;;0.43;3.73;319.04;3.73;310.19;4.08;20.84;4.67;20.90;4.67;0.00;4.67;7.07;4.08;1.19;4.08;0.70;4.67;26.10;;;;;3.73;0.20;0.77;Base SameAsMain
2.90;;3.79;;0.41;3.79;319.00;3.79;310.08;4.14;20.84;4.73;20.90;4.73;0.00;4.73;7.07;4.14;1.19;4.14;0.70;4.73;26.00;;;;;3.79;0.21;0.77;Block Length_of_Elution
2.94;;3.84;;0.36;3.84;318.97;3.84;310.06;4.20;20.85;4.80;20.80;4.80;0.00;4.80;7.07;4.20;1.20;4.20;0.70;4.80;26.00;;;;;3.84;0.21;0.77;Base SameAsMain
2.98;;3.89;;0.34;3.89;318.98;3.89;310.05;4.26;20.84;4.87;20.80;4.87;0.00;4.87;7.07;4.26;1.20;4.26;0.70;4.87;26.00;;;;;3.89;0.21;39.89;Fractionation_Stop_900  (Manual)
3.02;;3.95;;0.34;3.95;318.93;3.95;310.10;4.32;20.84;4.93;20.80;4.93;0.00;4.93;7.07;4.32;1.20;4.32;0.70;4.93;26.00;;;;;3.95;0.21;51.24;End Block
3.06;;4.00;;0.33;4.00;318.95;4.00;310.11;4.38;20.84;5.00;20.80;5.00;0.00;5.00;7.07;4.37;1.18;4.38;0.70;5.00;26.00;;;;;4.00;0.21;51.24;End Block
3.10;;4.05;;0.33;4.05;318.97;4.05;310.01;4.43;20.84;5.07;20.80;5.07;0.00;5.07;7.07;4.43;1.19;4.43;0.70;5.07;26.00;;;;;4.05;0.22;51.24;Block Fractionation_Stop
3.14;;4.11;;0.34;4.11;318.94;4.11;310.03;4.49;20.84;5.13;20.80;5.13;0.00;5.13;7.07;4.49;1.20;4.49;0.70;5.13;26.00;;;;;4.11;0.22;51.24;Base SameAsMain
3.19;;4.16;;0.35;4.16;318.91;4.16;310.02;4.55;20.85;5.20;20.80;5.20;0.00;5.20;7.07;4.55;1.19;4.55;0.70;5.20;26.00;;;;;4.16;0.22;51.24;Fractionation_Stop_900
3.23;;4.21;;0.34;4.21;319.04;4.21;310.03;4.61;20.85;5.27;20.80;5.27;0.00;5.27;7.07;4.61;1.21;4.61;0.70;5.27;26.00;;;;;4.21;0.22;51.24;Peak_FracStop_900
3.27;;4.27;;0.35;4.27;319.01;4.27;310.10;4.67;20.85;5.33;20.80;5.33;0.00;5.33;7.07;4.67;1.20;4.67;0.70;5.33;26.00;;;;;4.27;0.23;51.24;End Block
3.31;;4.32;;0.34;4.32;319.03;4.32;310.11;4.73;20.85;5.40;20.80;5.40;0.00;5.40;7.07;4.72;1.20;4.73;0.70;5.40;26.00;;;;;4.32;0.23;;
3.35;;4.37;;0.36;4.37;319.07;4.37;310.14;4.78;20.85;5.47;20.80;5.47;0.00;5.47;7.07;4.78;1.19;4.78;0.70;5.47;26.00;;;;;4.37;0.23;;
3.39;;4.43;;0.36;4.43;318.99;4.43;310.09;4.84;20.85;5.53;20.80;5.53;0.00;5.53;7.07;4.84;1.19;4.84;0.70;5.53;26.00;;;;;4.43;0.23;;
3.43;;4.48;;0.35;4.48;319.00;4.48;310.07;4.90;20.85;5.60;20.80;5.60;0.00;5.60;7.07;4.90;1.20;4.90;0.70;5.60;26.00;;;;;4.48;0.23;;
3.47;;4.53;;0.35;4.53;319.07;4.53;309.96;4.96;20.85;5.67;20.80;5.67;0.00;5.67;7.07;4.96;1.20;4.96;0.70;5.67;26.00;;;;;4.53;0.24;;
3.51;;4.59;;0.32;4.59;319.02;4.59;310.07;5.02;20.85;5.73;20.80;5.73;0.00;5.73;7.07;5.02;1.20;5.02;0.70;5.73;26.00;;;;;4.59;0.24;;
3.55;;4.64;;0.31;4.64;319.04;4.64;310.10;5.08;20.84;5.80;20.80;5.80;0.00;5.80;7.07;5.07;1.19;5.08;0.70;5.80;26.00;;;;;4.64;0.24;;
3.59;;4.69;;0.31;4.69;319.04;4.69;310.07;5.13;20.84;5.87;20.80;5.87;0.00;5.87;7.07;5.13;1.19;5.13;0.70;5.87;26.00;;;;;4.69;0.24;;
3.63;;4.75;;0.32;4.75;319.04;4.75;310.04;5.19;20.84;5.93;20.80;5.93;0.00;5.93;7.07;5.19;1.20;5.19;0.70;5.93;26.00;;;;;4.75;0.24;;
3.68;;4.80;;0.30;4.80;319.06;4.80;310.06;5.25;20.84;6.00;20.80;6.00;0.00;6.00;7.07;5.25;1.20;5.25;0.70;6.00;26.00;;;;;4.80;0.25;;
3.72;;4.85;;0.31;4.85;319.06;4.85;310.13;5.31;20.84;6.07;20.80;6.07;0.00;6.07;7.07;5.31;1.22;5.31;0.70;6.07;26.00;;;;;4.85;0.25;;
3.76;;4.91;;0.32;4.91;319.01;4.91;310.05;5.37;20.84;6.13;20.80;6.13;0.00;6.13;7.07;5.37;1.20;5.37;0.70;6.13;26.00;;;;;4.91;0.25;;
3.80;;4.96;;0.33;4.96;319.04;4.96;310.00;5.43;20.84;6.20;20.80;6.20;0.00;6.20;7.07;5.42;1.20;5.43;0.70;6.20;26.00;;;;;4.96;0.25;;
3.84;;5.01;;0.32;5.01;319.10;5.01;309.97;5.48;20.84;6.27;20.80;6.27;0.00;6.27;7.07;5.48;1.20;5.48;0.70;6.27;26.00;;;;;5.01;0.25;;
3.88;;5.07;;0.29;5.07;319.12;5.07;310.03;5.54;20.84;6.33;20.80;6.33;0.00;6.33;7.07;5.54;1.18;5.54;0.70;6.33;26.00;;;;;5.07;0.25;;
3.92;;5.12;;0.31;5.12;319.13;5.12;310.08;5.60;20.84;6.40;20.80;6.40;0.00;6.40;7.07;5.60;1.20;5.60;0.70;6.40;26.00;;;;;5.12;0.25;;
3.96;;5.17;;0.34;5.17;319.17;5.17;310.12;5.66;20.84;6.47;20.80;6.47;0.00;6.47;7.07;5.66;1.21;5.66;0.70;6.47;26.00;;;;;5.17;0.26;;
4.00;;5.23;;0.41;5.23;319.26;5.23;310.24;5.72;20.84;6.53;20.80;6.53;0.00;6.53;7.07;5.72;1.20;5.72;0.70;6.53;26.00;;;;;5.23;0.26;;
4.04;;5.28;;0.42;5.28;319.22;5.28;310.25;5.78;20.84;6.60;20.80;6.60;0.00;6.60;7.07;5.77;1.20;5.78;0.70;6.60;26.00;;;;;5.28;0.26;;
4.08;;5.33;;0.43;5.33;319.24;5.33;310.24;5.83;20.84;6.67;20.80;6.67;0.00;6.67;7.07;5.83;1.19;5.83;0.70;6.67;26.00;;;;;5.33;0.26;;
4.12;;5.39;;0.43;5.39;319.22;5.39;310.25;5.89;20.84;6.73;20.80;6.73;0.00;6.73;7.07;5.89;1.20;5.89;0.70;6.73;26.00;;;;;5.39;0.26;;
4.17;;5.44;;0.41;5.44;319.21;5.44;310.20;5.95;20.84;6.80;20.80;6.80;0.00;6.80;7.07;5.95;1.20;5.95;0.70;6.80;26.00;;;;;5.44;0.26;;
4.21;;5.49;;0.41;5.49;319.22;5.49;310.25;6.01;20.84;6.87;20.80;6.87;0.00;6.87;7.07;6.01;1.20;6.01;0.70;6.87;26.00;;;;;5.49;0.26;;
4.25;;5.55;;0.44;5.55;319.21;5.55;310.24;6.07;20.84;6.93;20.80;6.93;0.00;6.93;7.07;6.07;1.21;6.07;0.70;6.93;26.00;;;;;5.55;0.27;;
4.29;;5.60;;0.41;5.60;319.19;5.60;310.16;6.13;20.83;7.00;20.80;7.00;0.00;7.00;7.07;6.12;1.21;6.13;0.70;7.00;26.00;;;;;5.60;0.27;;
4.33;;5.65;;0.39;5.65;319.21;5.65;310.22;6.18;20.83;7.07;20.80;7.07;0.00;7.07;7.07;6.18;1.20;6.18;0.70;7.07;26.00;;;;;5.65;0.27;;
4.37;;5.71;;0.41;5.71;319.21;5.71;310.17;6.24;20.84;7.13;20.80;7.13;0.00;7.13;7.07;6.24;1.19;6.24;0.70;7.13;25.90;;;;;5.71;0.27;;
4.41;;5.76;;0.37;5.76;319.15;5.76;310.03;6.30;20.84;7.20;20.80;7.20;0.00;7.20;7.07;6.30;1.21;6.30;0.70;7.20;25.90;;;;;5.76;0.27;;
4.45;;5.81;;0.34;5.81;319.08;5.81;310.01;6.36;20.84;7.27;20.80;7.27;0.00;7.27;7.07;6.36;1.22;6.36;0.70;7.27;25.90;;;;;5.81;0.27;;
4.49;;5.87;;0.33;5.87;319.15;5.87;309.97;6.42;20.84;7.33;20.80;7.33;0.00;7.33;7.07;6.42;1.20;6.42;0.70;7.33;25.90;;;;;5.87;0.27;;
4.53;;5.92;;0.30;5.92;319.17;5.92;310.03;6.48;20.84;7.40;20.80;7.40;0.00;7.40;7.07;6.47;1.20;6.48;0.70;7.40;25.90;;;;;5.92;0.27;;
4.57;;5.97;;0.37;5.97;319.19;5.97;310.05;6.53;20.84;7.47;20.80;7.47;0.00;7.47;7.07;6.53;1.20;6.53;0.70;7.47;25.90;;;;;5.97;0.27;;
4.61;;6.03;;0.39;6.03;319.25;6.03;310.11;6.59;20.84;7.53;20.80;7.53;0.00;7.53;7.07;6.59;1.20;6.59;0.70;7.53;25.90;;;;;6.03;0.28;;
4.66;;6.08;;0.39;6.08;319.29;6.08;310.08;6.65;20.84;7.60;20.80;7.60;0.00;7.60;7.07;6.65;1.20;6.65;0.70;7.60;25.90;;;;;6.08;0.28;;
4.70;;6.13;;0.39;6.13;319.23;6.13;310.05;6.71;20.84;7.67;20.80;7.67;0.00;7.67;7.07;6.71;1.20;6.71;0.70;7.67;25.90;;;;;6.13;0.28;;
4.74;;6.19;;0.36;6.19;319.18;6.19;310.04;6.77;20.84;7.73;20.80;7.73;0.00;7.73;7.07;6.77;1.21;6.77;0.70;7.73;25.90;;;;;6.19;0.28;;
4.78;;6.24;;0.37;6.24;319.18;6.24;310.02;6.83;20.84;7.80;20.80;7.80;0.00;7.80;7.07;6.82;1.22;6.83;0.70;7.80;25.90;;;;;6.24;0.28;;
4.82;;6.29;;0.40;6.29;319.22;6.29;309.95;6.88;20.84;7.87;20.80;7.87;0.00;7.87;7.07;6.88;1.19;6.88;0.70;7.87;25.90;;;;;6.29;0.28;;
4.86;;6.35;;0.43;6.35;319.27;6.35;309.99;6.94;20.84;7.93;20.80;7.93;0.00;7.93;7.07;6.94;1.20;6.94;0.70;7.93;25.90;;;;;6.35;0.28;;
4.90;;6.40;;0.41;6.40;319.29;6.40;310.00;7.00;20.84;8.00;20.80;8.00;0.00;8.00;7.07;7.00;1.20;7.00;0.70;8.00;25.90;;;;;6.40;0.28;;
4.94;;6.45;;0.39;6.45;319.27;6.45;310.02;7.06;20.84;8.07;20.80;8.07;0.00;8.07;7.07;7.06;1.21;7.06;0.70;8.07;25.90;;;;;6.45;0.28;;
4.98;;6.51;;0.38;6.51;319.26;6.51;310.02;7.12;20.83;8.13;20.80;8.13;0.00;8.13;7.07;7.12;1.21;7.12;0.70;8.13;25.90;;;;;6.51;0.28;;
